Grad Year,Course,Type,Year
2012,Advanced Calculus,final term grade,2010 - 2011
2012,Advanced Calculus,final term grade,2010 - 2011
2012,Advanced Calculus,final course grade,2010 - 2011
2012,Advanced Calculus,final term grade,2010 - 2011
2012,Independent Mathematics,final course grade,2011 - 2012
2012,Math Analysis,final term grade,2009 - 2010
2012,Math Analysis,final term grade,2009 - 2010
2012,Math Analysis,final course grade,2009 - 2010
2012,Math Analysis,final term grade,2009 - 2010
2012,Multivariable Calculus,final term grade,2011 - 2012
2012,Multivariable Calculus,final term grade,2011 - 2012
2012,Multivariable Calculus,final term grade,2011 - 2012
2012,Multivariable Calculus,final course grade,2011 - 2012
2017,Advanced Algebra,term grade,2013 - 2014
2017,Advanced Algebra,term grade,2013 - 2014
2017,Advanced Algebra,term grade,2013 - 2014
2017,Advanced Algebra,regular grade,2013 - 2014
2017,Advanced Calculus,term grade,2016 - 2017
2017,Advanced Calculus,term grade,2016 - 2017
2017,Advanced Calculus,regular grade,2016 - 2017
2017,Advanced Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2015 - 2016
2017,Introductory Calculus,term grade,2015 - 2016
2017,Introductory Calculus,regular grade,2015 - 2016
2017,Introductory Calculus,term grade,2015 - 2016
2017,Introductory Computer Science,term grade,2016 - 2017
2017,Math Analysis,term grade,2014 - 2015
2017,Math Analysis,regular grade,2014 - 2015
2017,Math Analysis,term grade,2014 - 2015
2017,Math Analysis,term grade,2014 - 2015
2017,Scoring the Game,term grade,2016 - 2017
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,regular grade,2017 - 2018
2015,Advanced Algebra,term grade,2013 - 2014
2015,Advanced Algebra,term grade,2013 - 2014
2015,Advanced Algebra,term grade,2013 - 2014
2015,Advanced Algebra,regular grade,2013 - 2014
2015,Algebra I,final term grade,2011 - 2012
2015,Algebra I,final term grade,2011 - 2012
2015,Algebra I,final term grade,2011 - 2012
2015,Algebra I,final course grade,2011 - 2012
2015,Calculus Topics,term grade,2014 - 2015
2015,Geometry,term grade,2012 - 2013
2015,Geometry,term grade,2012 - 2013
2015,Geometry,term grade,2012 - 2013
2015,Geometry,regular grade,2012 - 2013
2015,Probability & Statistics,term grade,2014 - 2015
2015,Trigonometry & Functions,term grade,2014 - 2015
2016,Advanced Algebra,term grade,2013 - 2014
2016,Advanced Algebra,term grade,2013 - 2014
2016,Advanced Algebra,term grade,2013 - 2014
2016,Advanced Algebra,regular grade,2013 - 2014
2016,Advanced Statistics,term grade,2015 - 2016
2016,Advanced Statistics,term grade,2015 - 2016
2016,Advanced Statistics,term grade,2015 - 2016
2016,Advanced Statistics,regular grade,2015 - 2016
2016,Math Analysis,term grade,2014 - 2015
2016,Math Analysis,term grade,2014 - 2015
2016,Math Analysis,regular grade,2014 - 2015
2016,Math Analysis,term grade,2014 - 2015
2012,Advanced Calculus,final term grade,2010 - 2011
2012,Advanced Calculus,final term grade,2010 - 2011
2012,Advanced Calculus,final term grade,2010 - 2011
2012,Advanced Calculus,final course grade,2010 - 2011
2012,Introductory Calculus,final term grade,2009 - 2010
2012,Introductory Calculus,final term grade,2009 - 2010
2012,Introductory Calculus,final term grade,2009 - 2010
2012,Introductory Calculus,final course grade,2009 - 2010
2012,Multivariable Calculus,final term grade,2011 - 2012
2012,Multivariable Calculus,final term grade,2011 - 2012
2012,Multivariable Calculus,final term grade,2011 - 2012
2012,Multivariable Calculus,final course grade,2011 - 2012
2018,Advanced Calculus,term grade,2016 - 2017
2018,Advanced Calculus,term grade,2016 - 2017
2018,Advanced Calculus,term grade,2016 - 2017
2018,Advanced Calculus,regular grade,2016 - 2017
2018,Advanced Topics,term grade,2017 - 2018
2018,Fundamentals of Computer Science,term grade,2017 - 2018
2018,Game Design,term grade,2017 - 2018
2018,Introductory Calculus,term grade,2015 - 2016
2018,Introductory Calculus,term grade,2015 - 2016
2018,Introductory Calculus,regular grade,2015 - 2016
2018,Introductory Calculus,term grade,2015 - 2016
2018,Math Analysis,term grade,2014 - 2015
2018,Math Analysis,term grade,2014 - 2015
2018,Math Analysis,regular grade,2014 - 2015
2018,Math Analysis,term grade,2014 - 2015
2018,Multivariable Calculus,term grade,2017 - 2018
2018,Multivariable Calculus,term grade,2017 - 2018
2018,Programming Apps,term grade,2014 - 2015
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,regular grade,2017 - 2018
2020,Geometry,term grade,2016 - 2017
2020,Geometry,term grade,2016 - 2017
2020,Geometry,term grade,2016 - 2017
2020,Geometry,regular grade,2016 - 2017
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,regular grade,2017 - 2018
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,regular grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,regular grade,2017 - 2018
2019,Advanced Computer Science,term grade,2016 - 2017
2019,Independent Study: Math,term grade,2017 - 2018
2019,Introduction to Programming,term grade,2015 - 2016
2019,Math Analysis,term grade,2016 - 2017
2019,Math Analysis,regular grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2015,Advanced Algebra,term grade,2013 - 2014
2015,Advanced Algebra,term grade,2013 - 2014
2015,Advanced Algebra,term grade,2013 - 2014
2015,Advanced Algebra,regular grade,2013 - 2014
2015,Algebra I,final term grade,2011 - 2012
2015,Algebra I,final term grade,2011 - 2012
2015,Algebra I,final term grade,2011 - 2012
2015,Algebra I,final course grade,2011 - 2012
2015,Calculus Topics,term grade,2014 - 2015
2015,Geometry,term grade,2012 - 2013
2015,Geometry,term grade,2012 - 2013
2015,Geometry,term grade,2012 - 2013
2015,Geometry,regular grade,2012 - 2013
2015,Probability & Statistics,term grade,2014 - 2015
2015,Trigonometry & Functions,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,regular grade,2014 - 2015
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,regular grade,2013 - 2014
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,regular grade,2016 - 2017
2017,Math Analysis,term grade,2015 - 2016
2017,Math Analysis,term grade,2015 - 2016
2017,Math Analysis,regular grade,2015 - 2016
2017,Math Analysis,term grade,2015 - 2016
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final course grade,2011 - 2012
2014,Advanced Calculus,term grade,2013 - 2014
2014,Advanced Calculus,term grade,2013 - 2014
2014,Advanced Calculus,term grade,2013 - 2014
2014,Advanced Calculus,regular grade,2013 - 2014
2014,Advanced Programming,term grade,2013 - 2014
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final course grade,2010 - 2011
2014,Geometry,final term grade,2010 - 2011
2014,Introduction to Programming,term grade,2013 - 2014
2014,Introductory Calculus,term grade,2012 - 2013
2014,Introductory Calculus,term grade,2012 - 2013
2014,Introductory Calculus,term grade,2012 - 2013
2014,Introductory Calculus,regular grade,2012 - 2013
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Algebra,final course grade,2010 - 2011
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Statistics,term grade,2012 - 2013
2013,Advanced Statistics,term grade,2012 - 2013
2013,Advanced Statistics,term grade,2012 - 2013
2013,Advanced Statistics,regular grade,2012 - 2013
2013,Algebra I,final term grade,2009 - 2010
2013,Algebra I,final term grade,2009 - 2010
2013,Algebra I,final term grade,2009 - 2010
2013,Algebra I,final course grade,2009 - 2010
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final course grade,2011 - 2012
2013,Math Analysis,final term grade,2011 - 2012
2011,Advanced Calculus,final term grade,2010 - 2011
2011,Advanced Calculus,final term grade,2010 - 2011
2011,Advanced Calculus,final term grade,2010 - 2011
2011,Advanced Calculus,final course grade,2010 - 2011
2011,Introductory Calculus,final term grade,2009 - 2010
2011,Introductory Calculus,final term grade,2009 - 2010
2011,Introductory Calculus,final term grade,2009 - 2010
2011,Introductory Calculus,final course grade,2009 - 2010
2021,Geometry,term grade,2017 - 2018
2021,Geometry,term grade,2017 - 2018
2021,Geometry,term grade,2017 - 2018
2021,Geometry,regular grade,2017 - 2018
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,regular grade,2014 - 2015
2017,Functions/Instantaneous Rates,term grade,2015 - 2016
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,regular grade,2013 - 2014
2017,Math Analysis,term grade,2016 - 2017
2017,Math Analysis,term grade,2016 - 2017
2017,Math Analysis,term grade,2016 - 2017
2017,Math Analysis,regular grade,2016 - 2017
2017,Probability & Statistics,term grade,2015 - 2016
2017,Trigonometry & Functions,term grade,2015 - 2016
2011,Advanced Algebra,final term grade,2009 - 2010
2011,Advanced Algebra,final term grade,2009 - 2010
2011,Advanced Algebra,final term grade,2009 - 2010
2011,Advanced Algebra,final course grade,2009 - 2010
2011,Trigonometry & Functions,final course grade,2010 - 2011
2018,Advanced Algebra,term grade,2016 - 2017
2018,Advanced Algebra,term grade,2016 - 2017
2018,Advanced Algebra,term grade,2016 - 2017
2018,Advanced Algebra,regular grade,2016 - 2017
2018,Algebra I,term grade,2014 - 2015
2018,Algebra I,term grade,2014 - 2015
2018,Algebra I,term grade,2014 - 2015
2018,Algebra I,regular grade,2014 - 2015
2018,Algorithms and Data,term grade,2017 - 2018
2018,Functions/Instantaneous Rates,term grade,2017 - 2018
2018,Geometry,term grade,2015 - 2016
2018,Geometry,term grade,2015 - 2016
2018,Geometry,regular grade,2015 - 2016
2018,Geometry,term grade,2015 - 2016
2018,Probability & Statistics,term grade,2017 - 2018
2019,Advanced Algebra,term grade,2017 - 2018
2019,Advanced Algebra,term grade,2017 - 2018
2019,Advanced Algebra,term grade,2017 - 2018
2019,Advanced Algebra,regular grade,2017 - 2018
2019,Algebra I,term grade,2015 - 2016
2019,Algebra I,term grade,2015 - 2016
2019,Algebra I,regular grade,2015 - 2016
2019,Algebra I,term grade,2015 - 2016
2019,Geometry,term grade,2016 - 2017
2019,Geometry,term grade,2016 - 2017
2019,Geometry,term grade,2016 - 2017
2019,Geometry,regular grade,2016 - 2017
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,regular grade,2014 - 2015
2017,Advanced Calculus,term grade,2016 - 2017
2017,Advanced Calculus,term grade,2016 - 2017
2017,Advanced Calculus,regular grade,2016 - 2017
2017,Advanced Calculus,term grade,2016 - 2017
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,regular grade,2013 - 2014
2017,Introductory Calculus,term grade,2015 - 2016
2017,Introductory Calculus,term grade,2015 - 2016
2017,Introductory Calculus,regular grade,2015 - 2016
2017,Introductory Calculus,term grade,2015 - 2016
2017,Statistics & Social Justice,term grade,2016 - 2017
2015,Advanced Algebra,term grade,2012 - 2013
2015,Advanced Algebra,term grade,2012 - 2013
2015,Advanced Algebra,term grade,2012 - 2013
2015,Advanced Algebra,regular grade,2012 - 2013
2015,Advanced Statistics,term grade,2014 - 2015
2015,Advanced Statistics,term grade,2014 - 2015
2015,Advanced Statistics,term grade,2014 - 2015
2015,Advanced Statistics,regular grade,2014 - 2015
2015,Geometry,final term grade,2011 - 2012
2015,Geometry,final term grade,2011 - 2012
2015,Geometry,final course grade,2011 - 2012
2015,Geometry,final term grade,2011 - 2012
2015,Precalculus Topics,term grade,2013 - 2014
2015,Probabilty & Statistics,term grade,2013 - 2014
2015,Trigonometry & Functions,term grade,2013 - 2014
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Algebra,final course grade,2010 - 2011
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Geometry,final term grade,2009 - 2010
2013,Geometry,final term grade,2009 - 2010
2013,Geometry,final term grade,2009 - 2010
2013,Geometry,final course grade,2009 - 2010
2013,Introductory Calculus,term grade,2012 - 2013
2013,Introductory Calculus,term grade,2012 - 2013
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final course grade,2011 - 2012
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final term grade,2011 - 2012
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,regular grade,2014 - 2015
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,regular grade,2013 - 2014
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,regular grade,2016 - 2017
2017,Math Analysis,term grade,2015 - 2016
2017,Math Analysis,term grade,2015 - 2016
2017,Math Analysis,regular grade,2015 - 2016
2017,Math Analysis,term grade,2015 - 2016
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,regular grade,2017 - 2018
2020,Geometry,term grade,2016 - 2017
2020,Geometry,term grade,2016 - 2017
2020,Geometry,term grade,2016 - 2017
2020,Geometry,regular grade,2016 - 2017
2016,Advanced Algebra,term grade,2012 - 2013
2016,Advanced Algebra,term grade,2012 - 2013
2016,Advanced Algebra,term grade,2012 - 2013
2016,Advanced Algebra,regular grade,2012 - 2013
2016,Advanced Calculus,term grade,2015 - 2016
2016,Advanced Calculus,term grade,2015 - 2016
2016,Introductory Calculus,term grade,2014 - 2015
2016,Introductory Calculus,term grade,2014 - 2015
2016,Introductory Calculus,term grade,2014 - 2015
2016,Introductory Calculus,regular grade,2014 - 2015
2016,Math Analysis,term grade,2013 - 2014
2016,Math Analysis,term grade,2013 - 2014
2016,Math Analysis,term grade,2013 - 2014
2016,Math Analysis,regular grade,2013 - 2014
2011,Advanced Statistics,final term grade,2010 - 2011
2011,Advanced Statistics,final term grade,2010 - 2011
2011,Advanced Statistics,final term grade,2010 - 2011
2011,Advanced Statistics,final course grade,2010 - 2011
2011,Math Analysis,final term grade,2009 - 2010
2011,Math Analysis,final term grade,2009 - 2010
2011,Math Analysis,final course grade,2009 - 2010
2011,Math Analysis,final term grade,2009 - 2010
2016,Advanced Algebra,term grade,2012 - 2013
2016,Advanced Algebra,term grade,2012 - 2013
2016,Advanced Algebra,term grade,2012 - 2013
2016,Advanced Algebra,regular grade,2012 - 2013
2016,Advanced Statistics,term grade,2015 - 2016
2016,Advanced Statistics,term grade,2015 - 2016
2016,Advanced Statistics,term grade,2015 - 2016
2016,Advanced Statistics,regular grade,2015 - 2016
2016,Introductory Calculus,term grade,2014 - 2015
2016,Introductory Calculus,term grade,2014 - 2015
2016,Introductory Calculus,term grade,2014 - 2015
2016,Introductory Calculus,regular grade,2014 - 2015
2016,Math Analysis,term grade,2013 - 2014
2016,Math Analysis,term grade,2013 - 2014
2016,Math Analysis,term grade,2013 - 2014
2016,Math Analysis,regular grade,2013 - 2014
2021,Test - Math,term grade,2014 - 2015
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final course grade,2011 - 2012
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Calculus,term grade,2013 - 2014
2014,Advanced Calculus,term grade,2013 - 2014
2014,Advanced Calculus,term grade,2013 - 2014
2014,Advanced Calculus,regular grade,2013 - 2014
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final course grade,2010 - 2011
2014,Geometry,final term grade,2010 - 2011
2014,Math Analysis,term grade,2012 - 2013
2014,Math Analysis,term grade,2012 - 2013
2014,Math Analysis,term grade,2012 - 2013
2014,Math Analysis,regular grade,2012 - 2013
2014,Math Tutor,term grade,2013 - 2014
2014,Math Tutor,term grade,2013 - 2014
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,regular grade,2014 - 2015
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,regular grade,2013 - 2014
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,term grade,2016 - 2017
2017,Introductory Calculus,regular grade,2016 - 2017
2017,Math Analysis,term grade,2015 - 2016
2017,Math Analysis,term grade,2015 - 2016
2017,Math Analysis,regular grade,2015 - 2016
2017,Math Analysis,term grade,2015 - 2016
2014,Advanced Algebra,term grade,2012 - 2013
2014,Advanced Algebra,term grade,2012 - 2013
2014,Advanced Algebra,term grade,2012 - 2013
2014,Advanced Algebra,regular grade,2012 - 2013
2014,Algebra I,final term grade,2010 - 2011
2014,Algebra I,final term grade,2010 - 2011
2014,Algebra I,final term grade,2010 - 2011
2014,Algebra I,final course grade,2010 - 2011
2014,Geometry,final term grade,2011 - 2012
2014,Geometry,final term grade,2011 - 2012
2014,Geometry,final course grade,2011 - 2012
2014,Geometry,final term grade,2011 - 2012
2014,Math Analysis,term grade,2013 - 2014
2014,Math Analysis,term grade,2013 - 2014
2014,Math Analysis,term grade,2013 - 2014
2014,Math Analysis,regular grade,2013 - 2014
2013,Advanced Calculus,final term grade,2011 - 2012
2013,Advanced Calculus,final term grade,2011 - 2012
2013,Advanced Calculus,final term grade,2011 - 2012
2013,Advanced Calculus,final course grade,2011 - 2012
2013,Introductory Calculus,final term grade,2010 - 2011
2013,Introductory Calculus,final course grade,2010 - 2011
2013,Introductory Calculus,final term grade,2010 - 2011
2013,Introductory Calculus,final term grade,2010 - 2011
2013,Multivariable Calculus,term grade,2012 - 2013
2013,Multivariable Calculus,term grade,2012 - 2013
2013,Multivariable Calculus,term grade,2012 - 2013
2013,Multivariable Calculus,regular grade,2012 - 2013
2013,Advanced Statistics,term grade,2012 - 2013
2013,Advanced Statistics,term grade,2012 - 2013
2013,Advanced Statistics,term grade,2012 - 2013
2013,Advanced Statistics,regular grade,2012 - 2013
2013,Introductory Calculus,final term grade,2011 - 2012
2013,Introductory Calculus,final term grade,2011 - 2012
2013,Introductory Calculus,final course grade,2011 - 2012
2013,Introductory Calculus,final term grade,2011 - 2012
2013,Math Analysis,final term grade,2010 - 2011
2013,Math Analysis,final term grade,2010 - 2011
2013,Math Analysis,final term grade,2010 - 2011
2013,Math Analysis,final course grade,2010 - 2011
2010,Introduction to Programming I,final course grade,2009 - 2010
2010,Introductory Calculus,final term grade,2009 - 2010
2010,Introductory Calculus,final term grade,2009 - 2010
2010,Introductory Calculus,final course grade,2009 - 2010
2010,Introductory Calculus,final term grade,2009 - 2010
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Advanced Algebra,final course grade,2010 - 2011
2013,Advanced Algebra,final term grade,2010 - 2011
2013,Geometry,final term grade,2009 - 2010
2013,Geometry,final term grade,2009 - 2010
2013,Geometry,final course grade,2009 - 2010
2013,Geometry,final term grade,2009 - 2010
2013,Introductory Calculus,term grade,2012 - 2013
2013,Introductory Calculus,term grade,2012 - 2013
2013,Introductory Calculus,term grade,2012 - 2013
2013,Introductory Calculus,regular grade,2012 - 2013
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final term grade,2011 - 2012
2013,Math Analysis,final course grade,2011 - 2012
2012,Advanced Calculus,final term grade,2011 - 2012
2012,Advanced Calculus,final term grade,2011 - 2012
2012,Advanced Calculus,final term grade,2011 - 2012
2012,Advanced Calculus,final course grade,2011 - 2012
2012,Introductory Calculus,final term grade,2010 - 2011
2012,Introductory Calculus,final term grade,2010 - 2011
2012,Introductory Calculus,final course grade,2010 - 2011
2012,Introductory Calculus,final term grade,2010 - 2011
2012,Math Analysis,final term grade,2009 - 2010
2012,Math Analysis,final term grade,2009 - 2010
2012,Math Analysis,final course grade,2009 - 2010
2012,Math Analysis,final term grade,2009 - 2010
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,term grade,2017 - 2018
2021,Advanced Algebra,regular grade,2017 - 2018
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,regular grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,regular grade,2017 - 2018
2019,Advanced Calculus,term grade,2017 - 2018
2019,Math Analysis,term grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2019,Math Analysis,regular grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,regular grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,term grade,2017 - 2018
2019,Advanced Calculus,regular grade,2017 - 2018
2019,Advanced Calculus,term grade,2017 - 2018
2019,Introductory Calculus,term grade,2016 - 2017
2019,Introductory Calculus,term grade,2016 - 2017
2019,Introductory Calculus,regular grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,term grade,2014 - 2015
2017,Advanced Algebra,regular grade,2014 - 2015
2017,Advanced Statistics,term grade,2016 - 2017
2017,Advanced Statistics,term grade,2016 - 2017
2017,Advanced Statistics,regular grade,2016 - 2017
2017,Advanced Statistics,term grade,2016 - 2017
2017,Functions/Instantaneous Rates,term grade,2015 - 2016
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,term grade,2013 - 2014
2017,Geometry,regular grade,2013 - 2014
2017,Probability & Statistics,term grade,2015 - 2016
2017,Statistics & Social Justice,term grade,2016 - 2017
2017,STEM Tutor,term grade,2016 - 2017
2017,STEM Tutor,term grade,2016 - 2017
2017,Trigonometry & Functions,term grade,2015 - 2016
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final term grade,2011 - 2012
2014,Advanced Algebra,final course grade,2011 - 2012
2014,Advanced Programming,term grade,2013 - 2014
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final term grade,2010 - 2011
2014,Geometry,final course grade,2010 - 2011
2014,Introduction to Programming,term grade,2013 - 2014
2014,Introductory Calculus,term grade,2013 - 2014
2014,Introductory Calculus,term grade,2013 - 2014
2014,Introductory Calculus,term grade,2013 - 2014
2014,Introductory Calculus,regular grade,2013 - 2014
2014,Math Analysis,term grade,2012 - 2013
2014,Math Analysis,term grade,2012 - 2013
2014,Math Analysis,term grade,2012 - 2013
2014,Math Analysis,regular grade,2012 - 2013
2014,Programming Apps,term grade,2013 - 2014
2020,Advanced Algebra,term grade,2016 - 2017
2020,Advanced Algebra,term grade,2016 - 2017
2020,Advanced Algebra,regular grade,2016 - 2017
2020,Advanced Algebra,term grade,2016 - 2017
2020,Introductory Calculus,term grade,2017 - 2018
2020,Introductory Calculus,term grade,2017 - 2018
2020,Introductory Calculus,term grade,2017 - 2018
2020,Introductory Calculus,regular grade,2017 - 2018
2019,Advanced Algebra,term grade,2015 - 2016
2019,Advanced Algebra,term grade,2015 - 2016
2019,Introductory Calculus,term grade,2017 - 2018
2019,Introductory Calculus,term grade,2017 - 2018
2019,Introductory Calculus,term grade,2017 - 2018
2019,Introductory Calculus,regular grade,2017 - 2018
2019,Math Analysis,term grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2019,Math Analysis,regular grade,2016 - 2017
2019,Math Analysis,term grade,2016 - 2017
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,term grade,2017 - 2018
2020,Advanced Algebra,regular grade,2017 - 2018
2020,Geometry,term grade,2016 - 2017
2020,Geometry,term grade,2016 - 2017
2020,Geometry,term grade,2016 - 2017
2020,Geometry,regular grade,2016 - 2017
2021,Geometry,term grade,2017 - 2018
2021,Geometry,term grade,2017 - 2018
2021,Geometry,term grade,2017 - 2018
2021,Geometry,regular grade,2017 - 2018
2018,Advanced Algebra,term grade,2016 - 2017
2018,Advanced Algebra,term grade,2016 - 2017
2018,Advanced Algebra,regular grade,2016 - 2017
2018,Advanced Algebra,term grade,2016 - 2017
2018,Algebra I,term grade,2014 - 2015
2018,Algebra I,term grade,2014 - 2015
2018,Algebra I,term grade,2014 - 2015
2018,Algebra I,regular grade,2014 - 2015
2018,Functions/Instantaneous Rates,term grade,2017 - 2018
2018,Geometry,term grade,2015 - 2016
2018,Geometry,term grade,2015 - 2016
2018,Geometry,regular grade,2015 - 2016
2018,Geometry,term grade,2015 - 2016
2018,Probability & Statistics,term grade,2017 - 2018
2018,Trigonometry & Functions,term grade,2017 - 2018
2011,Advanced Statistics,final term grade,2010 - 2011
2011,Advanced Statistics,final term grade,2010 - 2011
2011,Advanced Statistics,final term grade,2010 - 2011
2011,Advanced Statistics,final course grade,2010 - 2011
2011,Precalculus Topics,final course grade,2009 - 2010
2011,Probabilty & Statistics,final course grade,2009 - 2010
2011,Trigonometry & Functions,final course grade,2009 - 2010
2011,Math Analysis,final term grade,2009 - 2010
2011,Math Analysis,final course grade,2009 - 2010
2011,Math Analysis,final term grade,2009 - 2010
2011,Math Analysis,final term grade,2009 - 2010
2013,Advanced Calculus,final term grade,2011 - 2012
2013,Advanced Calculus,final term grade,2011 - 2012
2013,Advanced Calculus,final term grade,2011 - 2012
2013,Advanced Calculus,final course grade,2011 - 2012
2013,Introductory Calculus,final term grade,2010 - 2011
2013,Introductory Calculus,final course grade,2010 - 2011
2013,Introductory Calculus,final term grade,2010 - 2011
2013,Introductory Calculus,final term grade,2010 - 2011
2013,Math Analysis,final term grade,2009 - 2010
2013,Math Analysis,final term grade,2009 - 2010
2013,Math Analysis,final term grade,2009 - 2010
2013,Math Analysis,final course grade,2009 - 2010
2013,Multivariable Calculus,term grade,2012 - 2013
2013,Multivariable Calculus,term grade,2012 - 2013
2013,Multivariable Calculus,term grade,2012 - 2013
2013,Multivariable Calculus,regular grade,2012 - 2013
